id,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PPG,RPG,APG
139,Haley Jones,DAL,24.0,6.0,4.0,2.0,72.0,17.0,8.0,19.0,42.1,1.0,3.0,33.3,0.0,0.0,0.0,3.0,13.0,16.0,6.0,2.0,1.0,1.0,7.0,44.0,0.0,0.0,27.0,2.8,2.7,1.0
138,Sika Kon̩,WAS,22.0,9.0,4.0,5.0,68.0,19.0,7.0,17.0,41.2,1.0,2.0,50.0,4.0,5.0,80.0,3.0,14.0,17.0,4.0,5.0,0.0,0.0,10.0,41.0,0.0,0.0,-9.0,2.1,1.9,0.4
126,Chloe Bibby,GSV,27.0,5.0,4.0,1.0,66.0,32.0,11.0,27.0,40.7,8.0,19.0,42.1,2.0,2.0,100.0,3.0,11.0,14.0,3.0,0.0,3.0,0.0,6.0,63.0,0.0,0.0,22.0,6.4,2.8,0.6
160,Robyn Parks,CON,32.0,6.0,1.0,5.0,63.0,2.0,1.0,5.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,2.0,1.0,2.0,0.0,7.0,17.0,0.0,0.0,-8.0,0.3,1.5,0.3
149,Brianna Turner,IND,28.0,12.0,6.0,6.0,49.0,5.0,2.0,9.0,22.2,0.0,0.0,0.0,1.0,2.0,50.0,2.0,6.0,8.0,3.0,4.0,0.0,1.0,7.0,18.0,0.0,0.0,3.0,0.4,0.7,0.2
144,Rayah Marshall,CON,21.0,7.0,0.0,7.0,47.0,11.0,4.0,13.0,30.8,0.0,1.0,0.0,3.0,6.0,50.0,5.0,12.0,17.0,3.0,5.0,0.0,1.0,4.0,33.0,0.0,0.0,6.0,1.6,2.4,0.4
143,Maddy Westbeld,CHI,23.0,6.0,0.0,6.0,39.0,12.0,4.0,12.0,33.3,2.0,6.0,33.3,2.0,2.0,100.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,5.0,26.0,0.0,0.0,-7.0,2.0,0.7,0.3
148,Makayla Timpson,IND,22.0,9.0,5.0,4.0,30.0,7.0,1.0,3.0,33.3,0.0,0.0,0.0,5.0,8.0,62.5,2.0,4.0,6.0,0.0,1.0,1.0,0.0,6.0,15.0,0.0,0.0,12.0,0.8,0.7,0.0
150,Marquesha Davis,NYL,24.0,8.0,7.0,1.0,28.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,6.0,83.3,1.0,4.0,5.0,1.0,3.0,0.0,1.0,2.0,13.0,0.0,0.0,-6.0,0.6,0.6,0.1
152,Kyara Linskens,GSV,28.0,4.0,2.0,2.0,27.0,4.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,2.0,1.0,3.0,7.0,19.0,0.0,0.0,7.0,1.0,1.5,0.2
151,Crystal Bradford,LVA,31.0,4.0,2.0,2.0,24.0,4.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,3.0,14.0,0.0,0.0,-15.0,1.0,1.2,0.2
158,Alexis Prince,PHX,31.0,1.0,1.0,0.0,22.0,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,3.0,0.0,0.0,1.0,11.0,0.0,0.0,5.0,2.0,8.0,1.0
147,Joyner Holmes,LVA,27.0,5.0,2.0,3.0,22.0,7.0,3.0,10.0,30.0,1.0,4.0,25.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,1.4,1.0,0.0
161,Sania Feagin,LAS,22.0,5.0,1.0,4.0,20.0,2.0,1.0,8.0,12.5,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,3.0,4.0,11.0,0.0,0.0,-27.0,0.4,0.4,0.2
146,Anastasiia Olairi Kosu,MIN,20.0,7.0,7.0,0.0,19.0,9.0,2.0,7.0,28.6,0.0,0.0,0.0,5.0,6.0,83.3,3.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,1.3,0.4,0.1
153,Mackenzie Holmes,SEA,24.0,3.0,2.0,1.0,17.0,4.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,-15.0,1.3,1.3,0.3
162,Grace Berger,LAS,26.0,1.0,0.0,1.0,16.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,-26.0,0.0,1.0,1.0
155,Megan McConnell,PHX,23.0,1.0,0.0,1.0,13.0,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,-22.0,3.0,1.0,3.0
163,Mari̬me Badiane,MIN,30.0,3.0,3.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,5.0,0.0,0.0,-7.0,0.0,0.3,0.0
156,Taylor Thierry,ATL,22.0,8.0,7.0,1.0,10.0,3.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,4.0,0.4,0.1,0.0
164,Moriah Jefferson,CHI,31.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,-1.0,0.0,0.0,1.5
154,Bree Hall,GSV,22.0,2.0,2.0,0.0,8.0,3.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,7.0,1.5,1.0,0.0
157,Aerial Powers,GSV,31.0,2.0,2.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,7.0,1.0,1.0,0.5
159,Kiana Williams,PHX,26.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0
165,Rae Burrell,LAS,25.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0
