award,is_album,is_song,is_artist
"Best R&B Vocal Performance, Female",False,False,False
"Best R&B Vocal Performance, Male",False,False,False
Best Sacred Performance (Non-Classical),False,False,False
"Best Vocal Soloist Performance, Classical",False,False,False
Best Country Vocal Performance By A Duo Or Group,False,False,False
Best Ethnic Or Traditional Recording (Including Traditional Blues),False,False,False
Best Gospel Performance (Other Than Soul Gospel),False,False,False
Best Instrumental Composition,False,False,False
Best Jazz Performance - Large Group Or Soloist With Large Group,False,False,False
Best Jazz Performance - Small Group Or Soloist With Small Group,False,False,False
"Best R&B Performance By A Duo Or Group, Vocal Or Instrumental",False,False,False
Best Sacred Performance (Musical),False,False,False
"Best Choral Performance, Classical",False,False,False
Best Ethnic Or Traditional Recording,False,False,False
Best Jazz Performance By A Big Band,False,False,False
Best Jazz Performance By A Group,False,False,False
Best Jazz Performance By A Soloist,False,False,False
Best Pop Instrumental Performance,False,False,False
"Best Pop Vocal Performance By Duo, Group Or Chorus",False,False,False
"Best Pop Vocal Performance, Female",False,False,False
"Best Pop Vocal Performance, Male",False,False,False
Best R&B Vocal Performance By A Group,False,False,False
"Best Choral Performance, (Other Than Opera)",False,False,False
Best Engineered Recording (Classical),False,False,False
Best Inspirational Performance,False,False,False
Best Pop Instrumental Performance By An Instrumental Performer,False,False,False
"Best Pop Vocal Performance By A Duo, Group Or Chorus",False,False,False
"Best R&B Vocal Performance By A Duo, Group Or Chorus",False,False,False
Album Of Best Original Score Written For A Motion Picture Or A Television Special,True,False,False
Best Album Package,True,False,False
Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),False,False,False
Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),False,False,False
Best Score From The Original Cast Show Album,True,False,False
Best Inspirational Performance (Non-Classical),False,False,False
Producer Of The Year,False,False,False
Best Cast Show Album,True,False,False
Best Ethnic Traditional Recording,False,False,False
Best Latin Recording,False,False,False
Best Pop Vocal Performance By A Group,False,False,False
Best Producer Of The Year,False,False,False
Album Of The Year Classical,True,False,False
"Best Arrangement For Voices (Duo, Group Or Chorus)",False,False,False
Best Classical Orchestral Performance,False,False,False
"Best Classical Performance, Instrumental Soloist Or Soloists (With Orchestra)",False,False,False
