id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
1,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,BLR,CA,US,USA,840,019,,America,Northern America,USA,1.0,650.0,564920.0,128M/48Q/32D,Aryna Sabalenka,1.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/blr.svg,Finals,L,"6-3, 3-6, 6-7 (6)",https://www.wtatennis.com/players/320760/aryna-sabalenka,False,False,False,False,False,True,True,3,True,31,15,16,BY,BLR,112,150,Europe,Eastern Europe,BLR,"6,3,None|3,6,None|6,7,6",
2,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,UKR,CA,US,USA,840,019,,America,Northern America,USA,9.0,650.0,564920.0,128M/48Q/32D,Elina Svitolina,9.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,Semifinals,W,"7-5, 6-4",https://www.wtatennis.com/players/316738/elina-svitolina,False,False,False,False,False,False,False,2,True,22,13,9,UA,UKR,804,150,Europe,Eastern Europe,UKR,"7,5,None|6,4,None",
3,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,USA,CA,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,5.0,650.0,564920.0,128M/48Q/32D,Jessica Pegula,5.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Quarterfinals,W,"6-1, 7-6 (4)",https://www.wtatennis.com/players/316956/jessica-pegula,False,False,False,False,True,False,True,2,True,20,13,7,US,USA,840,019,America,Northern America,USA,"6,1,None|7,6,4",
4,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,GBR,CA,US,USA,840,019,Britain|UK|Great Britain|United Kingdom,America,Northern America,USA,54.0,650.0,564920.0,128M/48Q/32D,Sonay Kartal,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/gbr.svg,Round of 16,W,"6-4, 4-3",https://www.wtatennis.com/players/329918/sonay-kartal,True,False,False,False,False,False,False,2,True,17,10,7,GB,GBR,826,150,Europe,Northern Europe,ENG,"6,4,None|4,3,None|Ret",
5,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,UKR,CA,US,USA,840,019,,America,Northern America,USA,28.0,650.0,564920.0,128M/48Q/32D,Marta Kostyuk,28.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ukr.svg,Round of 32,W,"6-4, 6-4",https://www.wtatennis.com/players/326482/marta-kostyuk,False,False,False,False,False,False,False,2,True,20,12,8,UA,UKR,804,150,Europe,Eastern Europe,UKR,"6,4,None|6,4,None",
6,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,USA,CA,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,43.0,650.0,564920.0,128M/48Q/32D,Hailey Baptiste,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 64,W,"7-6 (5), 2-6, 6-2",https://www.wtatennis.com/players/327101/hailey-baptiste,False,False,False,True,False,False,True,3,True,29,15,14,US,USA,840,019,America,Northern America,USA,"7,6,5|2,6,None|6,2,None",
7,BNP Paribas Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/a1736320-dd92-4829-8aa8-846c2edef410/WTA-Tournament_Indian-Wells-2017.png?height=128,https://www.wtatennis.com/tournaments/indian-wells,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-03-04,2026-03-15,2026,3,Indian Wells,,CA,US,USA,840,019,,America,Northern America,USA,,650.0,564920.0,128M/48Q/32D,,,,Round of 128,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Dubai Duty Free Tennis Championships,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2aee9d91-0756-4a92-b0bb-09b8d0dd8d76/WTA-Tournament_Dubai-2017.png?height=128,https://www.wtatennis.com/tournaments/dubai,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-15,2026-02-21,2026,2,Dubai,CRO,,AE,ARE,784,142,,Asia,Western Asia,UAE,67.0,120.0,49250.0,64M/32Q/32D,Antonia Ruzic,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/cro.svg,Round of 16,L,"7-5, 4-6, 0-1",https://www.wtatennis.com/players/329505/antonia-ruzic,True,False,False,False,False,False,False,3,True,23,11,12,HR,HRV,191,150,Europe,Southeastern Europe,CRO,"7,5,None|4,6,None|0,1,None|Ret",
2,Dubai Duty Free Tennis Championships,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2aee9d91-0756-4a92-b0bb-09b8d0dd8d76/WTA-Tournament_Dubai-2017.png?height=128,https://www.wtatennis.com/tournaments/dubai,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-15,2026-02-21,2026,2,Dubai,AUS,,AE,ARE,784,142,,Asia,Western Asia,UAE,94.0,120.0,49250.0,64M/32Q/32D,Kimberly Birrell,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/aus.svg,Round of 32,W,"6-1, 6-2",https://www.wtatennis.com/players/320728/kimberly-birrell,False,False,False,False,False,False,False,2,True,15,12,3,AU,AUS,036,009,Oceania,Australasia,AUS,"6,1,None|6,2,None",
3,Dubai Duty Free Tennis Championships,https://photoresources.wtatennis.com/photo-resources/2026/04/16/2aee9d91-0756-4a92-b0bb-09b8d0dd8d76/WTA-Tournament_Dubai-2017.png?height=128,https://www.wtatennis.com/tournaments/dubai,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-15,2026-02-21,2026,2,Dubai,,,AE,ARE,784,142,,Asia,Western Asia,UAE,,120.0,49250.0,64M/32Q/32D,,,,Round of 64,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,CAN,,QA,QAT,634,142,,Asia,Western Asia,QAT,13.0,215.0,98500.0,64M/32Q/32D,Victoria Mboko,10.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/can.svg,Quarterfinals,L,"5-7, 6-4, 4-6",https://www.wtatennis.com/players/331006/victoria-mboko,False,False,False,False,False,False,False,3,False,32,15,17,CA,CAN,124,019,America,Northern America,CAN,"5,7,None|6,4,None|4,6,None",
2,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,CHN,,QA,QAT,634,142,,Asia,Western Asia,QAT,26.0,215.0,98500.0,64M/32Q/32D,Qinwen Zheng,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/chn.svg,Round of 16,W,"4-6, 6-2, 7-5",https://www.wtatennis.com/players/328120/qinwen-zheng,False,False,False,False,False,False,False,3,False,30,17,13,CN,CHN,156,142,Asia,East Asia,CHN,"4,6,None|6,2,None|7,5,None",
3,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,CHN,,QA,QAT,634,142,,Asia,Western Asia,QAT,33.0,215.0,98500.0,64M/32Q/32D,Xinyu Wang,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/chn.svg,Round of 32,W,"6-2, 6-4",https://www.wtatennis.com/players/326376/xinyu-wang,False,False,False,False,False,False,False,2,True,18,12,6,CN,CHN,156,142,Asia,East Asia,CHN,"6,2,None|6,4,None",
4,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,,,QA,QAT,634,142,,Asia,Western Asia,QAT,,215.0,98500.0,64M/32Q/32D,,,,Round of 64,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
