id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
2,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,AUS,,QA,QAT,634,142,[],Asia,Western Asia,QAT,61.0,215.0,98500.0,64M/32Q/32D,Daria Kasatkina,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aus.svg,Round of 16,W,"5-7, 6-1, 6-1",https://www.wtatennis.com/players/322082/daria-kasatkina,False,False,False,False,False,False,False,3,False,26,17,9,AU,AUS,036,009,Oceania,Australasia,AUS,"5,7,None|6,1,None|6,1,None",
3,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,INA,,QA,QAT,634,142,[],Asia,Western Asia,QAT,46.0,215.0,98500.0,64M/32Q/32D,Janice Tjen,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ina.svg,Round of 32,W,"6-0, 6-3",https://www.wtatennis.com/players/328818/janice-tjen,False,False,False,False,False,False,False,2,True,15,12,3,,,,,,,INA,"6,0,None|6,3,None",
4,Qatar TotalEnergies Open 2026,https://photoresources.wtatennis.com/photo-resources/2026/04/16/c44d1d24-32ae-4ebe-b5e8-bd228bfb4fc8/1003_Doha_2026.png?height=128,https://www.wtatennis.com/tournaments/doha,WTA 1000,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/1000k-tag.svg,2026-02-08,2026-02-14,2026,2,Doha,,,QA,QAT,634,142,[],Asia,Western Asia,QAT,,215.0,98500.0,64M/32Q/32D,,,,Round of 64,,Bye,,False,False,True,False,False,False,False,0,False,0,0,0,,,,,,,,,
1,Australian Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/6b041ce4-8b08-4fff-be75-89d1c452c157/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2026-01-18,2026-02-01,2026,1,Melbourne,KAZ,,AU,AUS,036,009,[],Oceania,Australasia,AUS,5.0,430.0,485565.0,128M/128Q/64D,Elena Rybakina,5.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/kaz.svg,Quarterfinals,L,"5-7, 1-6",https://www.wtatennis.com/players/324166/elena-rybakina,False,False,False,False,False,False,False,2,False,19,6,13,KZ,KAZ,398,142,Asia,Central Asia,KAZ,"5,7,None|1,6,None",
2,Australian Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/6b041ce4-8b08-4fff-be75-89d1c452c157/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2026-01-18,2026-02-01,2026,1,Melbourne,AUS,,AU,AUS,036,009,[],Oceania,Australasia,AUS,168.0,430.0,485565.0,128M/128Q/64D,Maddison Inglis,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/aus.svg,Round of 16,W,"6-0, 6-3",https://www.wtatennis.com/players/321179/maddison-inglis,False,False,False,False,False,False,False,2,True,15,12,3,AU,AUS,036,009,Oceania,Australasia,AUS,"6,0,None|6,3,None",
3,Australian Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/6b041ce4-8b08-4fff-be75-89d1c452c157/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2026-01-18,2026-02-01,2026,1,Melbourne,RUS,,AU,AUS,036,009,[],Oceania,Australasia,AUS,33.0,430.0,485565.0,128M/128Q/64D,Anna Kalinskaya,31.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/rus.svg,Round of 32,W,"6-1, 1-6, 6-1",https://www.wtatennis.com/players/323942/anna-kalinskaya,False,False,False,False,False,False,False,3,True,21,13,8,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,1,None|1,6,None|6,1,None",
4,Australian Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/6b041ce4-8b08-4fff-be75-89d1c452c157/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2026-01-18,2026-02-01,2026,1,Melbourne,CZE,,AU,AUS,036,009,[],Oceania,Australasia,AUS,44.0,430.0,485565.0,128M/128Q/64D,Marie Bouzkova,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/cze.svg,Round of 64,W,"6-2, 6-3",https://www.wtatennis.com/players/320983/marie-bouzkova,False,False,False,False,False,False,False,2,True,17,12,5,CZ,CZE,203,150,Europe,Central Europe,CZE,"6,2,None|6,3,None",
5,Australian Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/6b041ce4-8b08-4fff-be75-89d1c452c157/WTA-Tournament_Australian-Open.png?height=128,https://www.wtatennis.com/tournaments/australian-open,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/gs-tag.svg,2026-01-18,2026-02-01,2026,1,Melbourne,CHN,,AU,AUS,036,009,[],Oceania,Australasia,AUS,130.0,430.0,485565.0,128M/128Q/64D,Yue Yuan,,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/chn.svg,Round of 128,W,"7-6 (5), 6-3",https://www.wtatennis.com/players/324325/yue-yuan,False,False,False,True,False,False,True,2,True,22,13,9,CN,CHN,156,142,Asia,East Asia,CHN,"7,6,5|6,3,None",
1,United Cup,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4747c6b3-5f7f-4dd1-8f1b-30ede7d1b539/WTA-Tournament_United-cup.jpg?height=128,https://www.wtatennis.com/tournaments/united-cup,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-01-02,2026-01-11,2026,1,Perth + Sydney,GER,,AU,AUS,036,009,[],Oceania,Australasia,AUS,39.0,150.0,486900.0,0M/0Q/0D,Eva Lys,6.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ger.svg,Round R,W,"3-6, 6-3, 6-4",https://www.wtatennis.com/players/325826/eva-lys,False,False,False,False,False,False,False,3,False,28,15,13,DE,DEU,276,150,Europe,Central Europe,GER,"3,6,None|6,3,None|6,4,None",
2,United Cup,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4747c6b3-5f7f-4dd1-8f1b-30ede7d1b539/WTA-Tournament_United-cup.jpg?height=128,https://www.wtatennis.com/tournaments/united-cup,WTA 500,Hard,https://www.wtatennis.com/resources/v7.42.8/i/elements/500k-tag.svg,2026-01-02,2026-01-11,2026,1,Perth + Sydney,NED,,AU,AUS,036,009,[],Oceania,Australasia,AUS,97.0,150.0,486900.0,0M/0Q/0D,Suzan Lamens,15.0,https://www.wtatennis.com/resources/v7.42.8/i/elements/flags/ned.svg,Round R,W,"6-3, 6-2",https://www.wtatennis.com/players/324898/suzan-lamens,False,False,False,False,False,False,False,2,True,17,12,5,NL,NLD,528,150,Europe,Western Europe,NED,"6,3,None|6,2,None",
